id,sex_cat_sen,age_sen,race_cat_sen,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree_cat,went_to_jail_cat,days_jail,predict_feat,age_sen_cat,training
2072,Female,66,Caucasian,0,0,0,1,M,False,29,0,65_and_over,1
3261,Female,49,Caucasian,0,0,0,1,F,False,2,0,45_to_65,1
1238,Female,32,Caucasian,0,0,0,1,M,True,1,0,25_to_45,1
7897,Female,24,Caucasian,0,0,0,0,M,True,1,0,18_to_25,1
4184,Male,30,Caucasian,0,0,0,19,F,True,83,1,25_to_45,1
8653,Male,59,Hispanic,0,0,0,0,F,False,2,0,45_to_65,1
3578,Male,39,Hispanic,0,0,0,2,F,True,105,0,25_to_45,1
2402,Male,46,African-American,0,0,1,15,F,True,7,0,45_to_65,1
8077,Male,26,African-American,0,0,0,2,F,False,0,0,25_to_45,1
6762,Male,20,Caucasian,0,0,0,0,M,True,0,0,18_to_25,1
6852,Male,27,Other,0,0,0,0,F,False,55,0,25_to_45,1
576,Male,26,African-American,1,1,0,6,F,True,2,1,25_to_45,1
2044,Male,33,Other,0,0,0,0,M,False,1,0,25_to_45,1
9687,Male,44,African-American,0,0,0,2,M,False,6,0,25_to_45,1
1094,Male,25,Caucasian,0,0,0,0,F,True,1,0,25_to_45,1
9871,Male,39,Caucasian,0,0,0,2,F,False,65,0,25_to_45,1
9827,Male,27,Caucasian,0,0,0,0,F,False,44,0,25_to_45,1
7484,Female,30,African-American,0,0,0,8,F,True,46,0,25_to_45,1
10873,Female,28,African-American,0,0,0,6,M,True,3,0,25_to_45,1
2089,Male,29,African-American,0,0,0,0,F,False,1,0,25_to_45,1
1840,Female,54,Caucasian,0,0,0,12,F,False,171,0,45_to_65,1
8203,Male,27,African-American,0,0,1,2,F,True,40,1,25_to_45,1
5308,Male,36,Other,0,0,0,8,M,False,2,0,25_to_45,1
6652,Male,25,African-American,0,0,0,4,F,False,1,1,25_to_45,1
9556,Male,30,Hispanic,0,0,0,1,F,False,18,0,25_to_45,1
4300,Male,53,Caucasian,0,0,0,1,F,False,22,0,45_to_65,1
10165,Male,28,African-American,0,0,0,5,F,True,4,0,25_to_45,1
2078,Male,43,Caucasian,0,0,0,4,F,False,3,0,25_to_45,1
3807,Female,31,Caucasian,0,0,0,1,M,False,11,0,25_to_45,1
1985,Male,65,Caucasian,0,0,0,2,M,False,5,0,65_and_over,1
2486,Female,33,Caucasian,0,0,0,7,M,False,1,0,25_to_45,1
143,Male,71,African-American,0,0,0,12,M,False,0,0,65_and_over,1
1639,Male,38,Hispanic,0,0,0,0,F,False,2,0,25_to_45,1
6560,Female,54,African-American,0,0,0,6,F,False,2,0,45_to_65,1
638,Male,28,African-American,0,0,0,8,F,False,4,0,25_to_45,1
9323,Male,23,Caucasian,0,1,0,4,M,True,3,1,18_to_25,1
294,Male,34,African-American,0,0,0,2,M,True,26,0,25_to_45,1
5382,Male,30,Other,0,0,0,0,F,False,1,0,25_to_45,1
3649,Male,26,African-American,0,0,0,4,F,True,1,1,25_to_45,1
944,Male,28,African-American,0,0,0,10,F,False,1,0,25_to_45,1
1499,Male,29,African-American,0,0,0,6,F,True,40,1,25_to_45,1
7535,Male,37,African-American,0,0,0,1,F,False,0,0,25_to_45,1
6312,Male,38,African-American,0,0,0,9,F,True,2,0,25_to_45,1
5552,Male,51,African-American,0,0,0,22,F,True,35,1,45_to_65,1
5477,Male,34,Caucasian,0,0,0,0,F,False,1,0,25_to_45,1
3154,Male,33,Other,0,0,0,3,F,False,1,0,25_to_45,1
6319,Male,23,African-American,0,0,0,2,M,False,8,1,18_to_25,1
4004,Female,27,African-American,0,0,0,1,F,False,45,0,25_to_45,1
6912,Female,61,African-American,0,0,0,1,F,False,52,0,45_to_65,1
7420,Male,29,Caucasian,0,0,0,0,F,True,2,0,25_to_45,1
8426,Male,55,Caucasian,0,0,0,0,F,False,1,0,45_to_65,1
10130,Female,48,African-American,0,0,0,1,F,False,1,0,45_to_65,1
1994,Male,29,Caucasian,0,0,0,7,M,True,2,1,25_to_45,1
4233,Male,39,African-American,0,0,0,2,M,False,48,0,25_to_45,1
7631,Male,22,Caucasian,0,0,0,0,F,True,1,0,18_to_25,1
6216,Male,22,African-American,0,0,0,0,F,True,1,0,18_to_25,1
9072,Male,37,African-American,0,0,0,4,M,True,76,0,25_to_45,1
2962,Male,40,African-American,0,0,0,1,M,False,2,0,25_to_45,1
9635,Female,38,Caucasian,0,0,0,0,F,False,3,0,25_to_45,1
5160,Male,36,African-American,0,0,0,11,F,True,1,0,25_to_45,1
2385,Female,20,African-American,0,0,3,2,F,True,24,1,18_to_25,1
10886,Female,39,African-American,0,0,0,1,F,True,3,0,25_to_45,1
7987,Male,29,Caucasian,4,1,0,10,F,False,3,1,25_to_45,1
1646,Male,47,Hispanic,0,0,0,0,M,False,2,0,45_to_65,1
3512,Male,26,African-American,0,0,0,5,F,False,7,0,25_to_45,1
7218,Male,31,African-American,0,0,0,0,M,False,0,0,25_to_45,1
4426,Female,43,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
6172,Male,34,Caucasian,0,0,0,2,F,False,1,0,25_to_45,1
9040,Male,34,African-American,0,0,0,3,F,False,2,0,25_to_45,1
10934,Male,41,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
3129,Male,56,African-American,0,0,0,1,F,False,1,0,45_to_65,1
4357,Male,37,African-American,0,0,0,1,M,False,1,0,25_to_45,1
3747,Male,37,Caucasian,0,0,0,1,M,False,2,0,25_to_45,1
8299,Male,27,African-American,0,0,0,2,F,False,4,0,25_to_45,1
769,Male,27,Caucasian,0,0,0,2,F,False,1,0,25_to_45,1
4367,Female,35,African-American,0,0,0,3,M,True,1,0,25_to_45,1
6901,Female,23,African-American,0,0,0,0,F,False,1,0,18_to_25,1
10636,Male,21,Caucasian,0,0,0,0,M,False,2,0,18_to_25,1
7495,Male,49,Caucasian,0,0,0,4,M,False,5,1,45_to_65,1
3966,Male,59,African-American,0,0,0,14,F,True,34,1,45_to_65,1
3492,Male,23,African-American,0,0,0,3,F,False,2,0,18_to_25,1
8053,Male,21,African-American,0,0,0,2,F,True,29,0,18_to_25,1
3358,Male,40,African-American,0,0,0,1,F,False,2,0,25_to_45,1
7348,Male,38,African-American,0,0,0,0,M,False,2,0,25_to_45,1
850,Male,21,African-American,0,2,0,3,F,True,0,0,18_to_25,1
1056,Male,47,Caucasian,0,0,0,2,F,True,3,0,45_to_65,1
3464,Male,24,Caucasian,0,0,1,1,F,True,22,0,18_to_25,1
4212,Male,22,Native American,0,0,2,0,M,False,0,0,18_to_25,1
87,Male,35,African-American,0,0,0,5,F,False,1,0,25_to_45,1
1209,Male,20,Caucasian,0,0,2,0,F,False,2,0,18_to_25,1
4409,Male,32,Caucasian,1,0,0,11,F,True,315,1,25_to_45,1
5364,Female,27,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
6451,Male,29,African-American,0,0,0,12,F,True,1,0,25_to_45,1
3897,Male,30,Caucasian,0,0,0,0,F,False,1,0,25_to_45,1
5332,Male,39,Caucasian,0,0,0,5,F,False,19,0,25_to_45,1
414,Female,25,Other,0,0,0,0,F,False,1,0,25_to_45,1
6497,Male,29,African-American,0,0,0,7,M,True,1,1,25_to_45,1
1774,Male,23,Caucasian,0,1,0,1,M,False,1,0,18_to_25,1
7499,Male,44,Caucasian,0,0,0,1,M,True,2,0,25_to_45,1
2917,Male,26,Caucasian,0,0,1,3,M,False,3,0,25_to_45,1
282,Male,45,Caucasian,0,0,0,8,M,False,72,0,45_to_65,1
6773,Female,28,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
9959,Female,22,African-American,0,0,0,0,M,False,2,0,18_to_25,1
2681,Male,43,African-American,0,0,0,1,F,False,2,0,25_to_45,1
7216,Male,32,African-American,0,1,3,7,F,True,1,1,25_to_45,1
10120,Female,29,Other,0,0,0,2,M,False,0,0,25_to_45,1
1282,Male,21,African-American,0,0,1,1,F,False,3,1,18_to_25,1
10490,Male,27,Caucasian,0,0,0,0,F,True,1,0,25_to_45,1
6247,Male,42,African-American,0,0,0,17,M,True,52,0,25_to_45,1
5502,Male,24,African-American,0,0,0,1,F,True,1,0,18_to_25,1
6834,Male,37,Hispanic,0,0,0,1,F,False,3,0,25_to_45,1
3698,Male,49,Caucasian,0,0,0,0,F,False,74,0,45_to_65,1
8652,Male,30,African-American,0,0,0,1,F,False,1,0,25_to_45,1
1020,Male,54,Other,0,0,0,0,F,False,0,0,45_to_65,1
4661,Male,43,African-American,0,0,0,8,M,False,2,0,25_to_45,1
4199,Male,22,Caucasian,1,0,0,2,F,False,2,0,18_to_25,1
8138,Male,56,African-American,0,0,0,1,F,False,9,0,45_to_65,1
1152,Female,23,Other,0,0,0,0,M,False,2,1,18_to_25,1
10281,Female,63,Caucasian,0,0,0,0,M,False,1,0,45_to_65,1
9735,Male,49,Hispanic,0,0,0,2,M,False,41,0,45_to_65,1
1881,Female,42,African-American,0,0,0,0,M,True,3,0,25_to_45,1
8672,Female,26,African-American,0,0,0,1,F,False,2,0,25_to_45,1
10548,Male,51,Caucasian,0,0,0,1,F,False,0,0,45_to_65,1
9578,Male,26,African-American,0,0,0,5,M,False,324,0,25_to_45,1
2153,Male,22,African-American,0,0,0,3,F,True,27,1,18_to_25,1
10452,Female,44,African-American,0,0,0,0,F,False,1,0,25_to_45,1
6067,Male,29,African-American,0,0,0,6,M,True,1,0,25_to_45,1
10243,Female,29,Hispanic,0,0,0,0,M,False,1,0,25_to_45,1
4530,Male,25,Other,0,0,0,2,F,False,0,0,25_to_45,1
3441,Male,49,Caucasian,0,0,0,0,F,True,2,0,45_to_65,1
10814,Male,54,African-American,0,0,0,10,F,True,1,0,45_to_65,1
8755,Male,36,Hispanic,0,0,0,0,M,True,2,0,25_to_45,1
1852,Male,28,African-American,0,0,0,7,F,False,2,0,25_to_45,1
7712,Male,23,African-American,0,0,0,0,M,False,33,0,18_to_25,1
7022,Male,25,African-American,0,0,0,0,M,True,2,0,25_to_45,1
9801,Male,25,African-American,0,0,0,4,M,False,5,0,25_to_45,1
6855,Male,31,Caucasian,0,0,0,1,F,False,2,0,25_to_45,1
4310,Male,21,Caucasian,0,0,0,1,F,False,6,0,18_to_25,1
4228,Male,31,Caucasian,0,1,1,4,F,True,2,1,25_to_45,1
8288,Male,37,African-American,0,0,0,8,F,True,15,0,25_to_45,1
5351,Male,21,Caucasian,0,0,1,0,M,False,1,0,18_to_25,1
2685,Female,21,African-American,0,0,0,0,F,False,1,0,18_to_25,1
9096,Male,25,African-American,0,0,0,5,F,False,37,0,25_to_45,1
5921,Male,52,Caucasian,0,0,0,4,M,True,2,0,45_to_65,1
4375,Male,37,Caucasian,0,0,0,1,M,True,0,0,25_to_45,1
646,Male,48,Hispanic,0,0,0,1,M,False,1,0,45_to_65,1
6878,Male,47,Caucasian,0,0,0,1,F,True,82,0,45_to_65,1
2746,Male,48,Caucasian,0,0,0,1,M,True,1,0,45_to_65,1
10423,Male,28,Caucasian,0,0,0,2,F,True,43,0,25_to_45,1
5290,Male,67,Caucasian,0,0,0,0,M,False,2,0,65_and_over,1
3278,Male,25,African-American,0,0,0,4,F,False,1,1,25_to_45,1
7580,Female,51,Caucasian,0,0,0,2,F,False,7,1,45_to_65,1
7476,Male,68,African-American,0,0,0,6,M,False,3,0,65_and_over,1
7920,Male,22,African-American,0,0,0,0,F,False,1,0,18_to_25,1
10588,Male,25,Hispanic,0,0,0,1,F,False,4,0,25_to_45,1
9046,Male,34,Caucasian,0,0,0,1,M,False,2,0,25_to_45,1
10864,Male,22,African-American,0,0,1,1,F,True,1,0,18_to_25,1
1346,Male,32,African-American,0,0,0,4,F,False,109,0,25_to_45,1
3431,Female,28,African-American,0,0,0,0,M,False,1,0,25_to_45,1
6376,Male,60,African-American,0,0,0,2,F,False,1,0,45_to_65,1
8279,Male,33,Other,0,0,0,5,F,False,3,0,25_to_45,1
5976,Male,28,Caucasian,0,0,0,1,F,True,1,0,25_to_45,1
1874,Female,28,Caucasian,0,0,0,1,M,False,2,0,25_to_45,1
2661,Female,44,Caucasian,0,0,0,11,F,True,27,0,25_to_45,1
3156,Male,49,Caucasian,0,0,0,4,F,False,6,0,45_to_65,1
1283,Male,21,African-American,0,1,1,1,F,True,3,1,18_to_25,1
6763,Female,36,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
9880,Female,46,Caucasian,0,0,0,0,M,False,0,0,45_to_65,1
8726,Female,29,Hispanic,0,0,0,1,F,False,2,0,25_to_45,1
9592,Male,25,Caucasian,0,0,0,1,F,False,1,0,25_to_45,1
10195,Male,27,Other,0,0,0,0,M,False,1,0,25_to_45,1
6744,Male,25,African-American,0,1,0,3,M,True,81,1,25_to_45,1
4961,Male,27,Other,0,0,0,0,F,True,2,0,25_to_45,1
1242,Female,37,Other,0,0,0,0,M,True,1,0,25_to_45,1
9262,Male,35,African-American,0,0,0,1,F,False,1,1,25_to_45,1
10893,Male,58,Caucasian,0,0,0,8,M,False,2,0,45_to_65,1
6000,Female,23,African-American,0,0,0,0,F,False,3,0,18_to_25,1
10315,Male,44,African-American,0,0,0,0,F,False,1,0,25_to_45,1
302,Female,35,African-American,0,1,0,23,F,False,3,1,25_to_45,1
2908,Male,23,African-American,0,0,0,0,F,False,4,0,18_to_25,1
5965,Female,24,Caucasian,0,0,1,7,M,True,126,1,18_to_25,1
9254,Male,33,African-American,0,0,0,3,F,False,1,0,25_to_45,1
10522,Female,67,Caucasian,0,0,0,0,M,False,1,0,65_and_over,1
509,Female,30,Caucasian,0,0,0,0,M,False,4,0,25_to_45,1
4377,Male,23,African-American,0,0,0,3,F,True,92,1,18_to_25,1
4085,Male,55,Caucasian,0,0,0,1,F,False,1,0,45_to_65,1
6226,Female,44,Caucasian,0,0,0,0,M,True,1,0,25_to_45,1
6829,Male,49,African-American,0,0,0,0,M,True,0,0,45_to_65,1
7613,Male,51,Hispanic,0,0,0,1,F,False,7,0,45_to_65,1
5167,Male,29,Caucasian,0,0,1,8,M,False,0,1,25_to_45,1
7663,Female,51,Caucasian,0,0,0,0,F,False,2,0,45_to_65,1
6094,Male,30,Caucasian,0,0,1,7,F,True,1,1,25_to_45,1
4434,Male,26,Caucasian,0,0,0,9,M,True,2,0,25_to_45,1
5989,Female,44,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
7341,Male,25,African-American,0,0,0,0,M,True,0,0,25_to_45,1
8554,Male,30,African-American,0,0,0,0,F,True,2,0,25_to_45,1
2864,Male,35,African-American,0,0,0,7,F,True,1,0,25_to_45,1
6911,Male,20,Hispanic,0,0,0,0,M,False,1,0,18_to_25,1
1141,Male,39,African-American,0,4,0,10,M,False,41,1,25_to_45,1
1571,Male,46,Caucasian,0,0,0,0,F,False,1,0,45_to_65,1
1945,Male,28,African-American,0,0,0,0,F,False,0,0,25_to_45,1
194,Male,42,Caucasian,0,0,0,6,F,False,0,0,25_to_45,1
9855,Male,54,Caucasian,0,0,0,3,F,False,1,0,45_to_65,1
9656,Male,31,African-American,0,0,0,6,F,False,1,0,25_to_45,1
1227,Male,36,Hispanic,0,0,0,11,F,False,79,0,25_to_45,1
232,Female,26,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
7413,Male,21,African-American,0,0,0,3,F,True,1,0,18_to_25,1
3351,Female,28,African-American,0,0,0,3,F,False,5,0,25_to_45,1
90,Male,27,African-American,1,1,2,15,F,True,2,1,25_to_45,1
9545,Male,55,African-American,0,0,0,5,F,False,301,0,45_to_65,1
222,Female,43,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
8783,Male,57,African-American,0,0,0,11,F,False,321,0,45_to_65,1
5458,Male,24,African-American,0,0,0,1,F,True,2,0,18_to_25,1
4948,Male,29,Caucasian,0,0,0,1,F,False,15,0,25_to_45,1
5497,Male,43,Hispanic,0,0,0,0,M,False,1,0,25_to_45,1
7530,Female,43,African-American,0,0,1,9,M,False,2,1,25_to_45,1
882,Male,50,Caucasian,0,0,0,5,F,True,2,0,45_to_65,1
8317,Male,37,Hispanic,0,0,0,4,F,False,0,0,25_to_45,1
6362,Female,29,Hispanic,0,0,0,0,F,False,2,0,25_to_45,1
8405,Male,40,African-American,0,0,0,2,F,False,2,0,25_to_45,1
7012,Male,28,African-American,0,0,0,0,F,False,1,0,25_to_45,1
1673,Male,29,Caucasian,0,0,0,7,M,False,46,0,25_to_45,1
252,Male,31,Caucasian,0,0,0,0,F,False,3,0,25_to_45,1
2536,Male,57,African-American,0,0,0,27,M,False,10,1,45_to_65,1
10570,Male,45,Caucasian,0,0,0,0,F,False,2,0,45_to_65,1
9695,Male,30,Caucasian,0,0,0,1,M,False,1,0,25_to_45,1
8835,Male,29,African-American,0,0,0,3,M,False,2,0,25_to_45,1
9755,Male,41,African-American,0,0,0,6,F,False,40,0,25_to_45,1
8174,Male,27,African-American,0,0,0,1,F,True,1,0,25_to_45,1
4336,Male,23,African-American,0,0,0,1,F,False,1,0,18_to_25,1
2993,Male,20,Hispanic,2,0,0,2,F,True,22,1,18_to_25,1
6195,Female,24,Caucasian,0,1,0,3,M,False,1,0,18_to_25,1
6481,Female,23,African-American,0,0,0,0,M,True,2,0,18_to_25,1
4784,Male,40,African-American,1,0,0,15,F,False,55,1,25_to_45,1
195,Female,25,Caucasian,0,0,0,2,F,False,4,0,25_to_45,1
6301,Male,33,African-American,0,0,0,1,F,True,1,0,25_to_45,1
4536,Female,44,Caucasian,0,0,0,1,F,False,1,0,25_to_45,1
7219,Male,32,African-American,0,0,0,3,F,False,1,0,25_to_45,1
2939,Female,24,African-American,0,0,0,6,M,False,311,0,18_to_25,1
4083,Male,23,Other,0,0,0,2,M,False,0,1,18_to_25,1
8150,Female,27,African-American,0,0,0,2,M,False,0,0,25_to_45,1
9539,Male,28,Caucasian,0,0,0,1,F,False,15,1,25_to_45,1
5667,Male,35,Hispanic,0,0,0,5,M,True,3,0,25_to_45,1
495,Female,36,African-American,0,0,0,0,F,False,13,0,25_to_45,1
8595,Male,47,Caucasian,0,0,0,11,F,False,90,0,45_to_65,1
1578,Male,39,Caucasian,0,0,0,1,F,False,15,0,25_to_45,1
2579,Female,36,African-American,0,0,0,0,M,False,1,0,25_to_45,1
963,Male,25,Caucasian,0,0,0,1,F,False,2,0,25_to_45,1
5461,Male,35,African-American,0,0,0,1,F,False,1,0,25_to_45,1
8635,Male,52,African-American,0,0,0,0,F,False,2,0,45_to_65,1
5558,Male,25,Caucasian,0,0,0,1,M,False,43,0,25_to_45,1
9920,Female,50,Caucasian,0,0,0,0,M,True,1,0,45_to_65,1
6099,Male,33,African-American,0,0,0,17,F,False,0,1,25_to_45,1
8794,Female,30,Caucasian,0,0,1,1,F,False,1,0,25_to_45,1
4065,Male,23,Caucasian,0,0,1,3,F,False,42,0,18_to_25,1
277,Male,47,African-American,0,0,0,23,M,True,1,1,45_to_65,1
10188,Male,31,Caucasian,0,0,0,3,M,True,1,0,25_to_45,1
3475,Male,43,Caucasian,0,0,0,5,F,False,1,0,25_to_45,1
7520,Female,23,Caucasian,0,0,0,0,M,False,0,0,18_to_25,1
8212,Male,33,Caucasian,0,0,0,0,F,False,1,0,25_to_45,1
390,Male,27,African-American,0,0,0,4,F,False,1,0,25_to_45,1
6965,Female,41,Other,0,0,0,2,F,False,16,0,25_to_45,1
1942,Male,28,Caucasian,0,0,0,2,M,False,2,0,25_to_45,1
4075,Male,41,African-American,0,0,0,13,F,False,3,0,25_to_45,1
1388,Female,57,Caucasian,0,0,0,1,F,False,2,0,45_to_65,1
7143,Male,57,African-American,0,0,0,1,F,False,2,0,45_to_65,1
1169,Male,29,African-American,0,0,0,1,M,False,4,0,25_to_45,1
4185,Male,20,Other,0,0,0,0,M,True,1,0,18_to_25,1
3247,Male,34,Caucasian,0,0,0,1,F,False,3,0,25_to_45,1
10823,Male,44,Hispanic,0,0,0,0,M,False,2,0,25_to_45,1
7944,Male,36,Caucasian,0,0,0,2,M,False,1,0,25_to_45,1
4331,Male,50,African-American,0,0,2,24,M,True,33,1,45_to_65,1
4439,Female,22,Caucasian,0,0,0,2,M,False,1,0,18_to_25,1
7943,Male,52,Hispanic,0,0,0,0,M,False,1,0,45_to_65,1
10371,Male,45,Hispanic,0,0,0,3,F,False,1,0,45_to_65,1
8686,Female,21,Caucasian,0,0,0,1,M,False,66,0,18_to_25,1
8695,Male,50,Caucasian,0,0,0,0,F,False,3,0,45_to_65,1
8289,Male,29,Caucasian,0,0,0,1,F,False,1,0,25_to_45,1
152,Male,24,African-American,0,0,0,1,F,False,138,0,18_to_25,1
4586,Male,57,Other,0,0,0,10,F,True,182,0,45_to_65,1
1678,Male,66,African-American,0,0,0,3,F,False,1,0,65_and_over,1
537,Male,49,African-American,0,0,0,3,F,False,4,0,45_to_65,1
4187,Female,44,Caucasian,0,0,0,1,F,True,2,0,25_to_45,1
1,Male,69,Other,0,0,0,0,F,False,1,0,65_and_over,1
10239,Male,36,African-American,0,0,0,0,F,False,1,0,25_to_45,1
7301,Male,36,African-American,0,0,0,2,F,True,3,0,25_to_45,1
9241,Male,43,Caucasian,0,0,0,2,F,False,1,0,25_to_45,1
4082,Male,24,Caucasian,0,0,0,0,F,True,37,0,18_to_25,1
9203,Male,31,Hispanic,0,0,0,1,F,False,6,0,25_to_45,1
7649,Male,46,African-American,0,0,0,3,F,True,2,0,45_to_65,1
9651,Male,41,Hispanic,0,0,0,3,F,False,2,0,25_to_45,1
4416,Male,58,Caucasian,0,0,0,3,F,False,3,0,45_to_65,1
10940,Male,30,Caucasian,0,0,0,2,M,False,7,1,25_to_45,1
2393,Male,22,African-American,0,0,0,0,F,False,2,0,18_to_25,1
3934,Male,52,African-American,0,0,0,7,F,True,182,0,45_to_65,1
10280,Male,27,African-American,0,0,0,2,F,True,1,1,25_to_45,1
10212,Male,67,African-American,0,0,0,3,F,False,0,0,65_and_over,1
5330,Male,29,African-American,0,0,0,0,M,False,2,0,25_to_45,1
4710,Female,30,Caucasian,0,0,0,9,F,True,5,0,25_to_45,1
3410,Male,45,African-American,0,0,0,1,F,False,3,0,45_to_65,1
1752,Female,60,Caucasian,0,0,0,0,F,False,14,0,45_to_65,1
3306,Male,33,Caucasian,0,0,0,1,M,False,2,0,25_to_45,1
8320,Male,25,Other,0,0,0,1,F,True,69,0,25_to_45,1
3789,Male,29,Caucasian,0,0,0,0,F,False,2,0,25_to_45,1
9528,Male,59,African-American,0,0,0,17,F,False,179,0,45_to_65,1
9838,Male,49,African-American,0,0,0,0,F,False,1,0,45_to_65,1
2410,Female,33,Hispanic,0,0,0,2,M,False,3,0,25_to_45,1
5740,Male,31,African-American,0,0,0,9,M,False,1,0,25_to_45,1
4179,Male,22,African-American,0,0,0,0,F,True,0,0,18_to_25,1
5671,Male,32,Caucasian,0,0,0,3,F,True,0,0,25_to_45,1
3031,Male,29,Caucasian,0,0,0,7,F,False,2,1,25_to_45,1
5153,Male,37,African-American,1,8,5,23,F,True,2,1,25_to_45,1
9758,Male,29,Caucasian,0,0,0,6,F,True,1,0,25_to_45,1
4362,Male,40,Other,0,0,0,4,F,True,16,0,25_to_45,1
8776,Male,25,Caucasian,0,0,0,7,F,True,44,1,25_to_45,1
4493,Male,32,African-American,0,0,4,9,F,False,1,1,25_to_45,1
10448,Male,48,African-American,0,0,0,11,M,False,57,0,45_to_65,1
2269,Female,47,African-American,0,0,0,1,F,False,0,0,45_to_65,1
6937,Female,29,Caucasian,0,0,0,0,F,False,29,0,25_to_45,1
1674,Male,24,African-American,0,0,0,1,F,False,59,0,18_to_25,1
8716,Male,30,African-American,0,0,0,0,M,False,1,0,25_to_45,1
3730,Male,24,Hispanic,0,0,0,0,F,True,2,0,18_to_25,1
541,Female,26,African-American,0,0,0,0,M,False,0,1,25_to_45,1
6431,Female,24,Other,0,0,0,2,F,True,2,0,18_to_25,1
301,Male,44,Caucasian,0,0,0,4,M,False,2,0,25_to_45,1
10065,Male,26,Caucasian,0,0,0,1,M,False,1,0,25_to_45,1
6287,Male,32,Caucasian,0,0,0,0,M,False,20,0,25_to_45,1
3785,Male,21,Caucasian,0,1,1,1,M,True,1,0,18_to_25,1
1860,Male,21,Caucasian,0,0,0,1,F,False,2,0,18_to_25,1
2480,Male,43,African-American,0,0,0,1,F,False,2,0,25_to_45,1
7821,Male,30,Caucasian,0,0,0,1,F,False,2,1,25_to_45,1
3863,Male,26,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
2765,Female,26,African-American,0,0,0,0,M,False,0,0,25_to_45,1
10006,Male,20,Caucasian,0,0,0,0,M,True,1,1,18_to_25,1
345,Male,52,Caucasian,0,0,0,0,F,False,1,0,45_to_65,1
3113,Male,34,Hispanic,0,0,0,2,F,True,10,0,25_to_45,1
9260,Female,57,Caucasian,0,0,0,4,F,False,258,0,45_to_65,1
10115,Male,35,African-American,0,0,0,5,F,False,0,0,25_to_45,1
812,Male,31,African-American,0,0,0,0,F,False,1,0,25_to_45,1
6575,Male,44,Hispanic,0,0,0,2,F,False,1,0,25_to_45,1
5372,Female,29,African-American,0,0,0,0,F,False,1,0,25_to_45,1
2896,Male,28,African-American,0,0,0,5,F,True,29,0,25_to_45,1
2766,Male,28,African-American,0,0,0,8,F,False,21,1,25_to_45,1
